dt,uid,bikes_available_to_rent
2023-06-06 00:02:06,29745906,1
2023-06-06 00:02:06,29746009,0
2023-06-06 00:02:06,29746047,3
2023-06-06 00:02:06,29746068,1
2023-06-06 00:02:06,29746123,3
2023-06-06 00:02:06,29746679,4
2023-06-06 00:02:06,29747497,5
2023-06-06 00:02:06,29749806,3
2023-06-06 00:02:06,29749855,1
2023-06-06 00:02:06,29749951,0
2023-06-06 00:02:06,29750190,6
2023-06-06 00:02:06,29750264,1
2023-06-06 00:02:06,29750615,1
2023-06-06 00:02:06,29751228,2
2023-06-06 00:02:06,29751388,1
2023-06-06 00:02:06,29751426,6
2023-06-06 00:02:06,29751502,2
2023-06-06 00:02:06,29751545,3
2023-06-06 00:02:06,29751592,0
2023-06-06 00:02:06,29751674,0
2023-06-06 00:02:06,29751736,1
2023-06-06 00:02:06,29751789,3
2023-06-06 00:02:06,29751918,2
2023-06-06 00:02:06,29752309,10
2023-06-06 00:02:06,29752472,1
2023-06-06 00:02:06,29752573,2
2023-06-06 00:02:06,29753372,0
2023-06-06 00:02:06,29753410,0
2023-06-06 00:02:06,29755203,0
2023-06-06 00:02:06,29992386,1
2023-06-06 00:02:06,29992613,2
2023-06-06 00:02:06,30278163,0
2023-06-06 00:02:06,30613108,0
2023-06-06 00:02:06,30613827,3
2023-06-06 00:02:06,30613955,0
2023-06-06 00:02:06,30925063,0
2023-06-06 00:02:06,31868207,6
2023-06-06 00:02:06,35855774,0
2023-06-06 00:02:06,35855809,3
2023-06-06 00:02:06,145369985,1
2023-06-06 00:02:06,152260960,0
2023-06-06 00:02:06,158039882,1
2023-06-06 00:02:06,158040425,2
2023-06-06 00:02:06,158040663,0
2023-06-06 00:02:06,158040927,1
2023-06-06 00:02:06,158041172,0
2023-06-06 00:02:06,158041482,0
2023-06-06 00:02:06,158041981,4
2023-06-06 00:02:06,158042216,1
2023-06-06 00:02:06,158042737,0
2023-06-06 00:02:06,158042992,1
2023-06-06 00:02:06,158046029,3
2023-06-06 00:02:06,158046288,6
2023-06-06 00:02:06,158046511,0
2023-06-06 00:02:06,158046728,4
2023-06-06 00:02:06,158046916,2
2023-06-06 00:02:06,167222018,0
2023-06-06 00:02:06,167222141,4
2023-06-06 00:02:06,176856256,0
2023-06-06 00:19:24,29745906,1
2023-06-06 00:19:24,29746009,0
2023-06-06 00:19:24,29746047,3
2023-06-06 00:19:24,29746068,1
2023-06-06 00:19:24,29746123,3
2023-06-06 00:19:24,29746679,4
2023-06-06 00:19:24,29747497,5
2023-06-06 00:19:24,29749806,3
2023-06-06 00:19:24,29749855,1
2023-06-06 00:19:24,29749951,0
2023-06-06 00:19:24,29750190,6
2023-06-06 00:19:24,29750264,1
2023-06-06 00:19:24,29750615,1
2023-06-06 00:19:24,29751228,2
2023-06-06 00:19:24,29751388,1
2023-06-06 00:19:24,29751426,6
