dt,uid,bikes_available_to_rent
2022-12-04 00:13:01,29745906,0
2022-12-04 00:13:01,29746009,0
2022-12-04 00:13:01,29746047,2
2022-12-04 00:13:01,29746068,3
2022-12-04 00:13:01,29746123,4
2022-12-04 00:13:01,29746679,15
2022-12-04 00:13:01,29747497,3
2022-12-04 00:13:01,29749806,1
2022-12-04 00:13:01,29749855,3
2022-12-04 00:13:01,29750190,2
2022-12-04 00:13:01,29750264,3
2022-12-04 00:13:01,29750615,3
2022-12-04 00:13:01,29751228,1
2022-12-04 00:13:01,29751388,1
2022-12-04 00:13:01,29751426,1
2022-12-04 00:13:01,29751502,0
2022-12-04 00:13:01,29751545,4
2022-12-04 00:13:01,29751592,1
2022-12-04 00:13:01,29751674,3
2022-12-04 00:13:01,29751736,3
2022-12-04 00:13:01,29751789,1
2022-12-04 00:13:01,29751918,2
2022-12-04 00:13:01,29752309,13
2022-12-04 00:13:01,29752472,4
2022-12-04 00:13:01,29752573,2
2022-12-04 00:13:01,29753372,0
2022-12-04 00:13:01,29753410,4
2022-12-04 00:13:01,29755203,4
2022-12-04 00:13:01,29992386,0
2022-12-04 00:13:01,29992613,2
2022-12-04 00:13:01,30278163,1
2022-12-04 00:13:01,30613108,1
2022-12-04 00:13:01,30613827,0
2022-12-04 00:13:01,30613955,1
2022-12-04 00:13:01,30925063,3
2022-12-04 00:13:01,31868207,4
2022-12-04 00:13:01,35855774,0
2022-12-04 00:13:01,35855809,2
2022-12-04 00:24:27,29745906,0
2022-12-04 00:24:27,29746009,0
2022-12-04 00:24:27,29746047,2
2022-12-04 00:24:27,29746068,3
2022-12-04 00:24:27,29746123,4
2022-12-04 00:24:27,29746679,15
2022-12-04 00:24:27,29747497,3
2022-12-04 00:24:27,29749806,1
2022-12-04 00:24:27,29749855,3
2022-12-04 00:24:27,29750190,2
2022-12-04 00:24:27,29750264,3
2022-12-04 00:24:27,29750615,4
2022-12-04 00:24:27,29751228,1
2022-12-04 00:24:27,29751388,1
2022-12-04 00:24:27,29751426,1
2022-12-04 00:24:27,29751502,0
2022-12-04 00:24:27,29751545,4
2022-12-04 00:24:27,29751592,1
2022-12-04 00:24:27,29751674,3
2022-12-04 00:24:27,29751736,3
2022-12-04 00:24:27,29751789,1
2022-12-04 00:24:27,29751918,2
2022-12-04 00:24:27,29752309,13
2022-12-04 00:24:27,29752472,4
2022-12-04 00:24:27,29752573,2
2022-12-04 00:24:27,29753372,0
2022-12-04 00:24:27,29753410,4
2022-12-04 00:24:27,29755203,4
2022-12-04 00:24:27,29992386,0
2022-12-04 00:24:27,29992613,2
2022-12-04 00:24:27,30278163,1
2022-12-04 00:24:27,30613108,1
2022-12-04 00:24:27,30613827,0
2022-12-04 00:24:27,30613955,1
2022-12-04 00:24:27,30925063,3
2022-12-04 00:24:27,31868207,5
2022-12-04 00:24:27,35855774,0
2022-12-04 00:24:27,35855809,2
2022-12-04 00:37:05,29745906,0
2022-12-04 00:37:05,29746009,0
2022-12-04 00:37:05,29746047,2
2022-12-04 00:37:05,29746068,3
2022-12-04 00:37:05,29746123,4
2022-12-04 00:37:05,29746679,15
2022-12-04 00:37:05,29747497,3
2022-12-04 00:37:05,29749806,1
2022-12-04 00:37:05,29749855,3
2022-12-04 00:37:05,29750190,2
2022-12-04 00:37:05,29750264,3
2022-12-04 00:37:05,29750615,4
2022-12-04 00:37:05,29751228,1
2022-12-04 00:37:05,29751388,1
2022-12-04 00:37:05,29751426,1
2022-12-04 00:37:05,29751502,0
2022-12-04 00:37:05,29751545,4
2022-12-04 00:37:05,29751592,1
2022-12-04 00:37:05,29751674,3
2022-12-04 00:37:05,29751736,3
2022-12-04 00:37:05,29751789,1
