dt,uid,bikes_available_to_rent
2022-06-29 00:17:15,29745906,4
2022-06-29 00:17:15,29746009,1
2022-06-29 00:17:15,29746047,6
2022-06-29 00:17:15,29746068,1
2022-06-29 00:17:15,29746123,6
2022-06-29 00:17:15,29746679,4
2022-06-29 00:17:15,29747497,6
2022-06-29 00:17:15,29749806,2
2022-06-29 00:17:15,29749855,2
2022-06-29 00:17:15,29749951,1
2022-06-29 00:17:15,29750190,4
2022-06-29 00:17:15,29750264,4
2022-06-29 00:17:15,29750615,2
2022-06-29 00:17:15,29751228,4
2022-06-29 00:17:15,29751388,5
2022-06-29 00:17:15,29751426,3
2022-06-29 00:17:15,29751502,0
2022-06-29 00:17:15,29751545,5
2022-06-29 00:17:15,29751592,0
2022-06-29 00:17:15,29751674,2
2022-06-29 00:17:15,29751736,3
2022-06-29 00:17:15,29751789,6
2022-06-29 00:17:15,29751918,1
2022-06-29 00:17:15,29752309,11
2022-06-29 00:17:15,29752472,4
2022-06-29 00:17:15,29752573,2
2022-06-29 00:17:15,29753372,3
2022-06-29 00:17:15,29753410,3
2022-06-29 00:17:15,29755203,3
2022-06-29 00:17:15,29992386,1
2022-06-29 00:17:15,29992613,3
2022-06-29 00:17:15,30278163,0
2022-06-29 00:17:15,30613108,4
2022-06-29 00:17:15,30613827,0
2022-06-29 00:17:15,30613955,2
2022-06-29 00:17:15,30925063,3
2022-06-29 00:17:15,31868207,9
2022-06-29 00:17:15,35855774,1
2022-06-29 00:17:15,35855809,8
2022-06-29 00:31:22,29745906,4
2022-06-29 00:31:22,29746009,1
2022-06-29 00:31:22,29746047,6
2022-06-29 00:31:22,29746068,1
2022-06-29 00:31:22,29746123,6
2022-06-29 00:31:22,29746679,4
2022-06-29 00:31:22,29747497,6
2022-06-29 00:31:22,29749806,2
2022-06-29 00:31:22,29749855,2
2022-06-29 00:31:22,29749951,1
2022-06-29 00:31:22,29750190,4
2022-06-29 00:31:22,29750264,4
2022-06-29 00:31:22,29750615,2
2022-06-29 00:31:22,29751228,4
2022-06-29 00:31:22,29751388,5
2022-06-29 00:31:22,29751426,3
2022-06-29 00:31:22,29751502,0
2022-06-29 00:31:22,29751545,5
2022-06-29 00:31:22,29751592,0
